广东频道,#genre#
CCTV-7,http://123.118.107.183:4022/rtp/239.3.1.61:8104
CCTV-7,http://114.252.227.154:8000/rtp/239.3.1.61:8104
CCTV-7,http://221.221.92.194:8888/rtp/239.3.1.61:8104
CCTV-7,http://114.243.107.72:8822/rtp/239.3.1.61:8104
CCTV-7,http://221.221.146.211:8182/rtp/239.3.1.61:8104
CCTV-7,http://114.243.108.168:8822/rtp/239.3.1.61:8104
CCTV-7,http://123.113.237.36:8012/rtp/239.3.1.61:8104
CCTV-7,http://114.243.105.128:8822/rtp/239.3.1.61:8104
CCTV-7,http://222.129.32.189:8686/rtp/239.3.1.61:8104
CCTV-8,http://111.193.225.167:8888/rtp/239.3.1.175:8001
CCTV-8,http://114.241.166.2:8888/rtp/239.3.1.175:8001
CCTV-8,http://114.240.43.183:8888/rtp/239.3.1.175:8001
CCTV-8,http://114.243.104.92:8888/rtp/239.3.1.175:8001
CCTV-8,http://123.117.51.57:5555/rtp/239.3.1.175:8001
CCTV-8,http://123.123.167.240:8000/rtp/239.3.1.175:8001
CCTV-8,http://123.118.107.183:4022/rtp/239.3.1.175:8001
CCTV-8,http://114.252.227.154:8000/rtp/239.3.1.175:8001
CCTV-8,http://221.221.92.194:8888/rtp/239.3.1.175:8001
CCTV-8,http://114.243.107.72:8822/rtp/239.3.1.175:8001
CCTV-8,http://221.221.146.211:8182/rtp/239.3.1.175:8001
CCTV-8,http://114.243.108.168:8822/rtp/239.3.1.175:8001
CCTV-8,http://123.113.237.36:8012/rtp/239.3.1.175:8001
CCTV-8,http://114.243.105.128:8822/rtp/239.3.1.175:8001
CCTV-8,http://222.129.32.189:8686/rtp/239.3.1.175:8001
CCTV-9,http://nas.hssvm.com:8888/udp/225.1.1.119:5002$1920x1080
CCTV-9,http://111.193.225.167:8888/rtp/239.3.1.62:8112
CCTV-9,http://114.241.166.2:8888/rtp/239.3.1.62:8112
CCTV-9,http://114.240.43.183:8888/rtp/239.3.1.62:8112
CCTV-9,http://114.243.104.92:8888/rtp/239.3.1.62:8112
CCTV-9,http://123.117.51.57:5555/rtp/239.3.1.62:8112
CCTV-9,http://123.123.167.240:8000/rtp/239.3.1.62:8112
CCTV-9,http://123.118.107.183:4022/rtp/239.3.1.62:8112
CCTV-9,http://114.252.227.154:8000/rtp/239.3.1.62:8112
CCTV-9,http://221.221.92.194:8888/rtp/239.3.1.62:8112
CCTV-9,http://114.243.107.72:8822/rtp/239.3.1.62:8112
CCTV-9,http://221.221.146.211:8182/rtp/239.3.1.62:8112
CCTV-9,http://114.243.108.168:8822/rtp/239.3.1.62:8112
